date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-06-29,32.5,24.41,26.8,21.1,41,,96,82.3,77,58,23.2,21.1,21.1,19.1,24,10.33,12.5,1,64,24,102.21,102.01,102,101.79,100.16,99.96,99.95,99.73,24140,22564.2,15270,6400,3.4,2.3,2.5,1.5,0,8.8,21.8,19.8,16.8,23.2,23.2,0,,5:39:00,21:04:00,15.42,5.65,21.07,8,9,30,31,21,22,,,,,,8,6,5.5,3,,,,
2021-06-28,32.2,27.49,26.95,21.7,39,,86,63.6,66,46,21.4,19.7,19.6,17.7,30,18.38,20,10,42,27,102.14,101.91,101.88,101.63,100.1,99.87,99.85,99.6,24100,24100,24100,24100,3.2,2.6,2.6,2.1,0,8.9,21.9,19.9,16.9,3,3,0,,5:38:00,21:04:00,15.43,5.63,21.07,8,8,31,32,21,22,,,,,,6,3.5,3.5,1,,,,
2021-06-27,30.7,27.4,27.25,23.8,39,,73,63.4,63.5,54,21.1,19.9,19.8,18.5,36,27.96,28.5,21,58,22,101.61,101.39,101.42,101.22,99.57,99.35,99.38,99.19,24100,24100,24100,24100,3.1,2.8,2.8,2.4,0,9.2,22.2,20.2,17.2,0,0,0,,5:38:00,21:04:00,15.43,5.63,21.07,8,9,30,30,21,22,,,,,,8,4.9,4.5,1,,,,
2021-06-26,27.5,23.97,23.25,19,36,,100,82.5,83,66,21.8,20.7,20.4,18.9,33,23.79,23,13,51,23,101.5,101.36,101.38,101.26,99.44,99.31,99.32,99.2,24100,21633.3,16900,9700,3,2.6,2.6,2.2,0,5.2,18.2,16.2,13.2,5.6,5.6,0,,5:37:00,21:04:00,15.45,5.62,21.07,4,6,25,27,21,22,,,,,,8,7.8,7.5,7,,,,
2021-06-25,25.8,21.24,22.3,18.8,30,,100,74,75,50,20.7,16,15.9,11.1,18,11.71,12.5,7,31,18,101.96,101.79,101.7,101.45,99.9,99.72,99.64,99.39,24100,18562.5,15250,6400,3.8,3.1,3.2,2.6,0,4.3,17.3,15.3,12.3,16.4,16.4,0,,5:37:00,21:04:00,15.45,5.62,21.07,8,8,26,26,18,20,,,,,,8,7.7,6.5,5,,,,
2021-06-24,28.1,22.42,22,15.9,30,,70,50.5,51,32,13,11.3,11.2,9.3,30,16.08,17.5,5,53,19,102.24,102.07,102.06,101.88,100.16,100,99.99,99.82,24100,24100,24100,24100,3.2,3,2.9,2.6,0,4,17,15,12,0,0,0,,5:37:00,21:03:00,15.43,5.62,21.05,9,9,27,27,20,20,,,,,,8,5.8,5,2,,,,
2021-06-23,23.7,17.55,16.25,8.8,,,79,53.1,57,35,9.9,7.5,6.9,3.9,31,14,17.5,4,40,18,102.18,102,101.92,101.66,100.1,99.91,99.83,99.57,24100,24100,24100,24100,3,2.3,2.4,1.7,1.8,0,11.2,9.2,6.2,0,0,0,,5:36:00,21:03:00,15.45,5.6,21.05,8,8,25,25,16,16,,,,,,6,3.4,3.5,1,,,,
2021-06-22,19.5,14.46,14.75,10,,,94,54.8,63,32,9.7,4.6,5.2,0.7,28,19.92,17.5,7,44,32,101.62,101.2,101.2,100.78,99.53,99.12,99.13,98.74,24100,24100,24100,24100,1.8,1.5,1.4,1.1,3.2,0,9.8,7.8,4.8,0,0,0,,5:36:00,21:03:00,15.45,5.6,21.05,6,8,19,19,9,11,,,,,,8,5.8,5,2,,,,
2021-06-21,29.7,21.06,20.65,11.6,34,,100,74.9,72.5,45,20,16,13.7,7.4,47,28.08,28.5,10,68,29,100.73,100.01,100.19,99.65,98.69,97.99,98.17,97.64,24100,20791.7,14050,4000,3.7,2.7,2.5,1.4,0,2.6,15.7,13.7,10.7,5.8,5.8,0,,5:36:00,21:03:00,15.45,5.6,21.05,4,8,28,28,10,19,,,,,,8,7,5.5,3,,,,
2021-06-20,27.1,21.15,20.55,14,32,,91,68.2,71,51,17.5,14.8,14.6,11.6,19,10.96,10.5,2,,,100.86,100.67,100.62,100.38,98.82,98.64,98.58,98.35,24100,24100,24100,24100,3.7,2.9,2.8,2,0,2.5,15.6,13.6,10.6,0.2,0.2,0,,5:36:00,21:03:00,15.45,5.6,21.05,9,9,28,29,18,19,,,,,,8,3.8,4,0,,,,
